,city_name,lat,long,temp,cloudiness,humidity,wind_speed,country_code,date_of_measurement
227,caravelas,-17.71,-39.25,80.65,20,73,10.38,BR,1608667223
228,constitucion,-35.33,-72.42,69.75,0,47,19.57,CL,1608667223
229,les cayes,18.2,-73.75,81.54,5,71,5.64,HT,1608667223
230,warwick,41.7,-71.42,44.6,75,56,18.34,US,1608667223
231,iskateley,67.68,53.15,-8.23,51,88,12.66,RU,1608667223
232,karatau,43.17,70.47,21.56,100,90,2.8,KZ,1608667223
233,yarada,17.65,83.27,60.8,0,87,4.65,IN,1608667223
234,jarinu,-23.1,-46.73,78.8,20,69,24.16,BR,1608667044
235,waingapu,-9.66,120.26,78.85,100,84,6.38,ID,1608667223
236,casma,-41.01,-73.12,69.8,75,52,4.7,CL,1608667223
237,longyearbyen,78.22,15.64,24.8,40,79,49.44,SJ,1608667223
238,dingle,11.0,122.67,75.61,1,91,5.82,PH,1608667223
239,mackay,-21.15,149.2,78.01,75,88,3.36,AU,1608667057
240,north bend,43.41,-124.22,45.0,75,93,9.17,US,1608667224
241,manaus,-3.1,-60.02,87.8,75,70,2.24,BR,1608667224
242,saint-pierre,-21.34,55.48,77.0,0,65,5.82,RE,1608667204
243,minot,48.23,-101.3,41.0,1,44,8.05,US,1608667024
244,santa vitoria do palmar,-33.52,-53.37,69.58,0,54,8.72,BR,1608667224
245,gejiu,23.31,103.16,36.23,0,100,0.85,CN,1608667224
246,thompson,55.74,-97.86,-9.4,75,69,4.7,CA,1608667075
247,port elizabeth,-33.92,25.57,71.6,0,88,8.05,ZA,1608667224
248,maceio,-9.67,-35.74,80.6,75,69,11.41,BR,1608667204
249,virovitica,45.83,17.38,46.51,100,86,7.78,HR,1608667224
250,lufilufi,-13.87,-171.6,80.01,78,78,5.99,WS,1608667224
251,sterling,39.01,-77.43,48.2,40,45,28.86,US,1608667224
252,kandrian,-6.22,149.55,78.08,72,83,6.26,PG,1608667224
253,yagodnoye,62.55,149.67,-25.2,100,82,2.62,RU,1608667224
254,grand forks,47.94,-97.43,34.0,1,80,11.41,US,1608667224
255,laguna,38.42,-121.42,50.0,40,87,11.41,US,1608667224
256,ballina,-28.87,153.57,72.0,79,64,11.41,AU,1608667225
257,cabinda,-5.55,12.2,78.13,100,88,7.9,AO,1608667225
258,codrington,-38.27,141.97,55.15,93,87,7.11,AU,1608667225
259,panguipulli,-39.63,-72.33,73.4,40,53,9.17,CL,1608667225
260,severo-yeniseyskiy,60.37,93.04,-17.95,100,89,3.58,RU,1608667225
261,komsomolskiy,40.43,71.72,32.0,100,91,4.7,UZ,1608667225
262,gambiran,-6.8,111.5,73.92,71,91,3.91,ID,1608667225
263,sukhumi,43.0,41.02,44.38,100,79,6.62,GE,1608667225
264,sault sainte marie,46.52,-84.33,32.0,90,94,8.05,CA,1608667200
265,dunmore town,25.5,-76.65,73.44,54,61,14.47,BS,1608667225
266,honiara,-9.43,159.95,75.2,40,94,2.24,SB,1608667225
267,sideropolis,-28.6,-49.42,71.33,66,60,4.92,BR,1608667226
268,mercedes,-34.65,-59.43,91.99,0,24,8.99,AR,1608666967
269,vrangel,42.73,133.08,26.96,0,85,6.33,RU,1608667226
270,airai,-8.93,125.41,61.75,100,100,3.06,TL,1608667226
271,piacabucu,-10.41,-36.43,80.2,66,69,12.71,BR,1608667226
272,anqing,30.51,117.05,42.66,47,62,0.83,CN,1608667226
273,hovd,48.01,91.64,2.3,100,68,6.96,MN,1608667226
274,banda aceh,5.56,95.32,77.27,58,86,10.8,ID,1608667226
275,rincon,32.3,-81.24,66.2,20,29,11.41,US,1608667226
276,reyes,-14.32,-67.38,93.2,40,49,3.91,BO,1608667226
277,kozhva,65.11,57.05,13.1,100,96,6.15,RU,1608667226
278,svecha,58.28,47.52,29.48,100,97,9.42,RU,1608667226
279,coihaique,-45.58,-72.07,60.8,75,48,8.05,CL,1608667226
280,olga,43.74,135.29,20.98,5,89,6.93,RU,1608667226
281,nicoya,10.15,-85.45,87.8,40,55,20.8,CR,1608667203
282,matara,5.95,80.54,73.44,89,91,2.75,LK,1608667226
283,cidreira,-30.18,-50.21,71.29,0,63,9.98,BR,1608667227
284,idil,37.34,41.89,42.94,100,95,8.79,TR,1608667227
285,casino,-28.87,153.05,72.0,44,68,5.82,AU,1608667227
286,valadares,41.15,-7.98,52.0,100,9,2.35,PT,1608667227
287,beloha,-25.17,45.05,75.09,0,80,10.67,MG,1608667227
288,khasan,42.43,130.64,27.72,0,82,4.36,RU,1608667227
289,porto san giorgio,43.18,13.79,48.99,89,83,2.42,IT,1608667227
290,hambantota,6.12,81.12,74.44,100,89,7.45,LK,1608667227
291,manggar,-2.88,108.27,79.3,100,85,8.39,ID,1608667227
292,namibe,-15.2,12.15,69.51,30,82,5.86,AO,1608667227
293,yar-sale,66.83,70.83,-32.87,0,84,2.84,RU,1608667227
294,macusani,-14.08,-70.43,41.31,100,82,6.58,PE,1608667227
295,beyneu,45.32,55.2,15.44,0,89,10.2,KZ,1608667227
296,khvorostyanka,52.61,48.96,7.68,0,94,7.02,RU,1608667228
297,hailey,43.52,-114.32,32.0,40,89,23.04,US,1608667228
298,katsuura,35.13,140.3,37.4,20,64,4.7,JP,1608667228
299,bereda,43.27,-7.54,57.0,100,74,13.0,ES,1608667228
300,gondar,12.6,37.47,61.75,64,52,3.67,ET,1608666990
301,mar del plata,-38.0,-57.56,78.8,40,61,11.41,AR,1608667150
302,sao filipe,14.9,-24.5,74.01,0,71,6.55,CV,1608667228
303,cap malheureux,-19.98,57.61,75.99,3,83,8.01,MU,1608667228
304,yulara,-25.24,130.99,60.8,100,55,4.7,AU,1608667228
305,challapata,-18.9,-66.77,59.13,91,47,5.32,BO,1608667228
306,dudinka,69.41,86.18,-43.6,40,64,4.47,RU,1608667228
307,swan hill,-35.34,143.55,53.73,0,74,11.61,AU,1608667228
308,zuenoula,7.43,-6.04,79.12,9,28,1.77,CI,1608667228
309,berbera,10.44,45.01,77.49,50,62,6.53,SO,1608667228
310,khatanga,71.97,102.5,-30.77,79,81,11.45,RU,1608667228
311,batagay,67.63,134.63,-47.49,65,75,1.19,RU,1608667228
